,Alchorneopsis floribunda,Alchorneopsis latifolia,Byrsonima spicata,Byrsonima wadsworthii,Calophyllum antillanum,Casearia sylvestris,Cecropia schreberiana,Cissus verticillata,Cordia borinquensis,Croton poecilanthus,Dacryodes excelsa,Dalbergia monetaria,Dendropanax arboreus,Dioscorea polygonoides,Drypetes glauca,Eugenia domingensis,Eugenia stahlii,Faramea occidentalis,Garcinia portoricensis,Gonzalagunia spicata,Guarea guidonia,Guettarda valenzuelana,Heteropterys laurifolia,Hibiscus rosa sinensis,Hippocratea volubilis,Hirtella rugosa,Homalium racemosum,Ixora ferrea,Manilkara bidentata,Matayba domingensis,Miconia impetiolaris,Miconia racemosa,Myrcia deflexa,Myrcia leptoclada,Nectandra turbacensis,Ocotea leucoxylon,Palicourea croceoides,Paullinia pinnata,Pinzona coriacea,Piper glabrescens,Piper hispidum,Piper umbellatum,Prestoea acuminata,Psuedolmedia spuria,Psychotria berteroana,Psychotria brachiata,Psychotria grandis,Rourea surinamensis,Roystonea borinquena,Samyda spinulosa,Sapium laurocerasus,Schefflera morototoni,Securidaca virgata,Simarouba amara,Sloanea berteroana,Smilax coriacea,Spondia mombin,Swietenia macrophylla,Syzygium jambos,Tabebiua heterophylla,Tetragastris balsamifera,Trema micranthum,Trichilia pallida,Urera baccifera,Zanthoxylum martinicense
Green,29,36,1,0,10,7,80,1,5,5,9,46,37,1,20,5,0,2,4,20,138,1,2,37,42,8,1,1,31,8,1,3,1,1,46,26,3,12,0,7,0,1,22,0,136,13,4,104,17,0,40,75,0,2,14,1,55,74,2,8,6,0,19,1,10
Red,32,21,0,1,3,0,120,2,3,4,5,34,29,1,12,0,3,3,0,21,139,1,2,41,49,1,1,0,15,4,0,4,0,4,30,32,1,26,2,7,2,0,48,1,162,7,1,69,21,1,44,84,2,1,18,2,52,80,0,6,11,4,9,3,12
