,Green.all,Red.all,,Treatment,RGR,,Treatment.300,RGR.300,Green.300,Red.300,Treatment.400,RGR.400,Green.400,Red.400,Treatment.500,RGR.500,Green.500,Red.500
p.300.1,0.06012877,0.06545522,,Green,0.06012877,,Green,0.06012877,0.06012877,0.06545522,Green,0.1739516,0.1739516,0.131016,Green,0.1485553,0.1485553,0.1835087
p.300.2,0.04296511,0.03546864,,Green,0.04296511,,Green,0.04296511,0.04296511,0.03546864,Green,0.1268348,0.1268348,0.07462325,Green,0.08286511,0.08286511,0.09157112
p.300.3,0.06718083,0.1061015,,Green,0.06718083,,Green,0.06718083,0.06718083,0.1061015,Green,0.1301464,0.1301464,0.1194603,Green,0.1556069,0.1556069,0.1512421
p.300.4,0.05411881,0.06873686,,Green,0.05411881,,Green,0.05411881,0.05411881,0.06873686,Green,0.09035473,0.09035473,0.09727114,Green,0.02335302,0.02335302,0.05776227
p.300.5,0.0463057,0.07985863,,Green,0.0463057,,Green,0.0463057,0.0463057,0.07985863,Green,0.06166509,0.06166509,0.05488792,Green,0.1569421,0.1569421,0.1408008
p.300.6,0.04023161,0.0477469,,Green,0.04023161,,Green,0.04023161,0.04023161,0.0477469,Green,0.1627751,0.1627751,0.05529136,Green,0.1976999,0.1976999,0.2029293
p.300.7,0.05129231,0.06934433,,Green,0.05129231,,Green,0.05129231,0.05129231,0.06934433,Green,0.07488525,0.07488525,0.05650748,Green,0.1241665,0.1241665,0.1812303
p.300.8,0.05045557,0.05630526,,Green,0.05045557,,Green,0.05045557,0.05045557,0.05630526,Green,0.2714957,0.2714957,0.1821458,Green,0.2110094,0.2110094,0.2809787
p.300.9,0.06659159,0.07850936,,Green,0.06659159,,Green,0.06659159,0.06659159,0.07850936,Green,0.1038249,0.1038249,0.1631692,Green,0.06667124,0.06667124,0.1051666
p.300.10,0.0548604,0.08101468,,Green,0.0548604,,Green,0.0548604,0.0548604,0.08101468,Green,0.06035853,0.06035853,0.06485941,Green,0.1169039,0.1169039,0.1442359
p.300.11,0.03174359,0.02986684,,Green,0.03174359,,Green,0.03174359,0.03174359,0.02986684,Green,0.1406594,0.1406594,0.1803973,Green,0.02632108,0.02632108,0.1079842
p.300.12,0.04383458,0.05489508,,Green,0.04383458,,Green,0.04383458,0.04383458,0.05489508,Green,0.08262927,0.08262927,0.07436137,Green,0.2319903,0.2319903,0.2405186
p.300.13,0.08649618,0.04319805,,Green,0.08649618,,Green,0.08649618,0.08649618,0.04319805,Green,0.1323496,0.1323496,0.07947554,Green,0.2431139,0.2431139,0.03834083
p.300.14,0.1431768,0.09394896,,Green,0.1431768,,Green,0.1431768,0.1431768,0.09394896,Green,0.1075539,0.1075539,0.07336167,Green,0.1175212,0.1175212,0.1593583
