,plot_id,Station_id,Treatment_2,sp_id,Elevation,log_init_height,log_LA,log_SMF,log_SRL,log_RGR_plus_1,log_ConNeigh,log_HetNeigh,Treatment_factor
45,2,2,0,19,300,0.961362974,-0.249520457,1.014919957,-0.375436176,-1.010214507,-0.141445467,1.301444754,Control
46,2,2,0,19,300,-0.900469488,-0.140506876,-0.018925291,0.933036525,-0.701669635,-0.141445467,1.301444754,Control
47,2,2,0,19,300,-0.044388458,-0.513453342,0.685917458,-0.601081255,-0.748552409,-0.141445467,1.301444754,Control
48,2,2,0,27,300,1.758162258,0.916644894,0.498705433,-0.804891883,-0.832337412,-0.761289746,1.572135912,Control
49,2,2,0,34,300,-0.229806094,0.673864679,-0.594382776,0.026895693,-0.187518263,-0.761289746,1.572135912,Control
50,2,2,0,47,300,-0.084026969,-1.138481385,0.340958852,-2.052625506,-0.968503399,2.028009511,0.354025699,Control
51,2,2,0,47,300,-0.900469488,-1.873611479,1.210218531,-0.506308281,-0.727221421,2.028009511,0.354025699,Control
52,2,2,0,47,300,0.013531432,-0.507793522,-0.105433163,-1.67118836,-0.758047641,2.028009511,0.354025699,Control
53,2,2,0,47,300,-1.028999048,-0.999914189,-0.127158139,-1.088538112,-0.677624695,2.028009511,0.354025699,Control
54,2,2,0,47,300,-0.364535128,-1.052044248,-0.244288268,-0.559849329,-0.711176444,2.028009511,0.354025699,Control
55,2,2,0,47,300,-0.145112432,-0.19397848,-0.470735328,-0.750566247,-0.594045082,2.028009511,0.354025699,Control
56,2,2,0,47,300,-0.084026969,-0.930025984,0.203626633,0.369281763,-0.812037216,2.028009511,0.354025699,Control
57,2,2,0,47,300,0.228724978,-0.299424194,-0.483562618,-1.14390141,-0.791546621,2.028009511,0.354025699,Control
58,2,2,0,47,300,-0.411700678,-0.531614416,-0.676085323,-1.599210196,-0.508760717,2.028009511,0.354025699,Control
59,2,2,0,47,300,0.228724978,-0.945747132,-0.332322928,-1.881820868,-0.869614972,2.028009511,0.354025699,Control
60,2,2,0,47,300,-0.124527253,-0.463842474,0.382343151,-2.420497844,-0.652550507,2.028009511,0.354025699,Control
61,2,2,0,47,300,0.051167858,-0.020516812,-1.109873087,-0.695825122,-0.650017608,2.028009511,0.354025699,Control
62,2,2,0,47,300,0.466870843,-0.367044285,-0.454734093,-1.059093397,-0.778699287,2.028009511,0.354025699,Control
63,2,2,0,47,300,0.327665381,0.493490396,0.103548935,-1.595089603,-0.439872333,2.028009511,0.354025699,Control
64,2,2,0,47,300,0.262292367,-0.06016293,-0.361625446,-0.312820757,-0.66450869,2.028009511,0.354025699,Control
65,2,2,0,47,300,-0.104167054,-1.165528424,0.123653382,-0.325058227,-0.83698689,2.028009511,0.354025699,Control
66,2,2,0,47,300,-0.560815417,-1.549548738,0.693149907,1.361998391,-0.692444457,2.028009511,0.354025699,Control
67,2,2,0,47,300,-1.062566438,-1.348493189,0.596258956,-0.708216406,-0.266723535,2.028009511,0.354025699,Control
68,2,2,0,47,300,0.327665381,-1.004372375,0.523896411,-1.384094282,0.175256013,2.028009511,0.354025699,Control
69,2,2,0,48,300,-1.203232457,-0.631705461,-0.18314397,-0.628659269,-0.901689531,-0.761289746,1.572135912,Control
70,2,2,0,51,300,-1.062566438,0.878963732,-0.118129523,-1.201312328,0.180722211,-0.451367607,1.436790333,Control
71,2,2,0,51,300,-1.203232457,1.106465426,-0.83744907,-0.871409264,0.8873092,-0.451367607,1.436790333,Control
72,2,2,0,51,300,-0.963626035,0.873641697,-0.399711204,-0.440709414,0.183380657,-0.451367607,1.436790333,Control
73,2,2,0,54,300,1.626969452,0.626970938,0.683417352,-1.014391439,-0.477766087,-0.761289746,1.572135912,Control
74,2,2,0,57,300,1.720525833,0.953162801,0.917646769,-1.241795633,-0.844917137,0.168476673,1.166099174,Control
75,2,2,0,57,300,1.873730452,0.448998564,0.67798825,-0.999405968,-0.700816239,0.168476673,1.166099174,Control
76,2,2,0,57,300,1.802344718,0.005786559,0.303332929,-0.876082502,-0.844944918,0.168476673,1.166099174,Control
77,2,2,0,57,300,1.511529181,0.142049101,0.021670706,-1.089547092,-0.782763692,0.168476673,1.166099174,Control
78,2,2,0,57,300,1.388460122,1.204820317,-3.825827208,-1.84256256,-0.590730473,0.168476673,1.166099174,Control
79,2,2,0,57,300,0.984082033,0.547185856,-0.06551884,-0.698546584,-0.278294913,0.168476673,1.166099174,Control
80,2,2,0,57,300,1.697573513,-1.291091249,1.018500791,-1.121718952,-1.350598094,0.168476673,1.166099174,Control
81,2,2,0,60,300,-0.124527253,0.178275917,-0.672936543,0.617156042,-0.824875923,-0.761289746,1.572135912,Control
82,3,3,0,6,300,-0.751354748,0.58883324,1.318226068,-0.285692406,1.688013849,-0.606328677,0.083334541,Control
83,3,3,0,6,300,-0.869676394,-2.246265244,-0.644695522,-0.10987286,-0.148419516,-0.606328677,0.083334541,Control
84,3,3,0,10,300,0.743368366,-0.99806615,0.599279048,-1.617239526,-1.100271021,-0.761289746,0.15100733,Control
85,3,3,0,19,300,-0.50977278,-0.402690744,-0.003163538,0.334396405,-0.725474576,0.168476673,-0.255029407,Control
