,mean,sd,2.50%,97.50%,n_eff,Rhat4,,,
b12j[1],-0.255641795,0.094770174,-0.439219548,-0.064599719,760.6712578,1.003444808,pc1*ConNeigh,1,ALCFLO
b15j[2],0.094990011,0.037395237,0.028984773,0.173699583,983.9997926,1.003901551,pc1*HetNeigh,2,ALCLAT
b21j[6],-0.048691157,0.028039308,-0.109913284,-0.001175969,745.8359728,1.005748797,pc1*HetNeigh*Treatmetn,6,CECSCH
b9j[6],0.08039527,0.03507446,0.011395496,0.149595659,2787.172766,1.002835342,pc1*Treatment,6,CECSCH
b12j[22],-0.088982476,0.044209949,-0.176634353,-0.004056076,2636.367565,1.001224534,pc1*ConNeigh,22,HIBROS
b18j[22],0.246039944,0.073277872,0.101855232,0.390859927,1249.747791,1.001868091,pc1*ConNeigh*Treatment,22,HIBROS
b18j[43],0.08087575,0.027701279,0.026760109,0.135337495,3331.067755,1.001742701,pc1*ConNeigh*Treatment,43,PSYBER
b15j[43],0.058989403,0.018033888,0.024078882,0.094519656,1122.730102,1.003114664,pc1*HetNeigh,43,PSYBER
b12j[51],-0.105524539,0.046538044,-0.197445414,-0.015659829,1700.280421,1.001504675,pc1*ConNeigh,51,SCHMOR
b15j[57],0.039157671,0.016673718,0.006952119,0.072503692,3113.225717,1.001506313,pc1*HetNeigh,57,SWIMAC
b5,0.004286236,0.026072392,-0.04718655,0.055475334,2594.267012,1.001792158,ConNeigh,,
b24,-0.045070978,0.035204374,-0.113828395,0.024577065,2623.138415,1.002243917,ConNeigh*Treatment,,
b8,0.000705534,0.000370564,-2.25E-05,0.001434891,30191.10888,1.000079214,Elevation,,
b6,-0.024016789,0.032455443,-0.08828806,0.038779318,4010.17544,1.000880074,HetNeigh,,
b25,0.038039649,0.037553493,-0.037037736,0.111438307,4004.421998,1.002883633,HetNeigh*Treatment,,
b1,-0.42741697,0.017508412,-0.461830087,-0.393234499,5380.076262,1.000321563,initial height,,
b2,0.191717161,0.011942019,0.168331343,0.215073204,1108.32171,1.003557369,pc1,,
b12,-0.014482176,0.02627842,-0.064606728,0.039615647,1543.271989,1.003984406,pc1*ConNeigh,,
b18,0.031987852,0.040487061,-0.050611344,0.111065381,1055.573476,1.004766741,pc1*ConNeigh*Treatment,,
b15,0.026413307,0.014018388,-0.002037971,0.053508229,944.6027737,1.00880158,pc1*HetNeigh,,
b21,-0.0330987,0.016017779,-0.066174451,-0.003135496,555.7830768,1.010083006,pc1*HetNeigh*Treatmetn,,
b9,-0.00891166,0.031666718,-0.074200255,0.051158652,898.1415076,1.000836962,pc1*Treatment,,
b3,0.078829197,0.011580756,0.056116994,0.101499976,729.791124,1.004043125,pc2,,
b13,-0.011856426,0.015818643,-0.045692804,0.017921612,856.032976,1.001477734,pc2*ConNeigh,,
b19,-0.0148356,0.023378906,-0.065273695,0.027390376,546.539693,1.002268142,pc2*ConNeigh*Treatment,,
b16,0.002298861,0.012624953,-0.022976789,0.026829847,198.1978162,1.029126951,pc2*HetNeigh,,
b22,-0.005126087,0.017203405,-0.038787686,0.029656389,137.1071035,1.040320393,pc2*HetNeigh*Treatmetn,,
b10,-0.00265363,0.01849274,-0.039891304,0.033184315,358.8816542,1.008701333,PC2*Treatment,,
b4,0.063998742,0.013198887,0.038043431,0.0899936,1595.098536,1.00099268,pc3,,
b14,-0.005467701,0.018011687,-0.047172086,0.026008595,148.5564794,1.025970838,pc3*ConNeigh,,
b20,-0.003671459,0.027387741,-0.055176396,0.053160385,324.6613191,1.004437353,pc3*ConNeigh*Treatment,,
b17,-0.005091423,0.015498275,-0.035617428,0.025128277,376.212373,1.009917625,pc3*HetNeigh,,
b23,0.010926638,0.020363308,-0.028042466,0.050574478,294.5383601,1.016387005,pc3*HetNeigh*Treatmetn,,
b11,-0.010599105,0.025531195,-0.061339366,0.039663667,900.8947098,1.008103484,PC3*Treatment,,
b7,0.017587199,0.038148889,-0.057404464,0.092193407,4704.17608,1.001837049,Treatment,,
a,-1.522460385,10.91308015,-21.49471987,20.81442089,52.85761484,1.067876212,,,
a_plot[1],0.370504189,1.11371936,-1.776477015,2.382873325,8.689779143,1.36362628,,,
a_plot[10],0.458330123,1.114390794,-1.68952252,2.477039982,8.665097506,1.364008594,,,
a_plot[100],0.313427621,1.117162714,-1.836914513,2.333069254,8.686432726,1.362525388,,,
a_plot[101],0.331122635,1.115772937,-1.82171045,2.345032682,8.725392567,1.360877373,,,
a_plot[102],0.366628738,1.114937851,-1.781874218,2.385281579,8.684942782,1.363137571,,,
a_plot[103],0.421053677,1.114131629,-1.725963504,2.434261667,8.722915648,1.363633401,,,
a_plot[104],0.292408594,1.116435748,-1.860553059,2.310038799,8.727036887,1.360435282,,,
a_plot[105],0.377737734,1.116367834,-1.778744512,2.393097841,8.718894611,1.362941614,,,
a_plot[106],0.250078516,1.118794327,-1.913790952,2.270225441,8.762006382,1.357674177,,,
a_plot[107],0.285973396,1.116116058,-1.866064679,2.30472481,8.701177799,1.361130316,,,
a_plot[108],0.346581437,1.116808305,-1.806661523,2.367651436,8.700654361,1.361769497,,,
