,mean,sd,2.50%,97.50%,n_eff,Rhat4,,,
a_plot[109],0.35209443,1.114997602,-1.799608998,2.366806762,8.697472313,1.363470774,,,
a_plot[11],0.40752349,1.113515721,-1.737392804,2.419833373,8.653946222,1.364307223,,,
a_plot[110],0.340354086,1.115462796,-1.808046667,2.357227607,8.713620883,1.361986088,,,
a_plot[111],0.357354456,1.116299572,-1.795780835,2.371124671,8.703734618,1.361284266,,,
a_plot[112],0.314786866,1.115781748,-1.829740805,2.3302222,8.674540924,1.362766703,,,
a_plot[113],0.353437894,1.115938344,-1.799351909,2.366785989,8.695291154,1.363093377,,,
a_plot[114],0.413642958,1.114126457,-1.733168499,2.425129815,8.680989121,1.363792147,,,
a_plot[115],0.327552064,1.115192111,-1.819711832,2.337132222,8.680580081,1.362673529,,,
a_plot[116],0.588074886,1.115026249,-1.568749838,2.608100352,8.716796451,1.365230222,,,
a_plot[117],0.389779693,1.115323716,-1.759754469,2.408550332,8.669509078,1.364199621,,,
a_plot[118],0.35011834,1.115751539,-1.805647309,2.36672803,8.730655694,1.360524672,,,
a_plot[119],0.484024432,1.112555263,-1.664594638,2.499527845,8.732184832,1.364177767,,,
a_plot[12],0.286469839,1.115205944,-1.865761576,2.304089436,8.709107308,1.361258224,,,
a_plot[120],0.310595205,1.115432759,-1.841373585,2.323135911,8.723878881,1.361628216,,,
a_plot[121],0.322179829,1.116347415,-1.831038531,2.337210303,8.710153429,1.361716125,,,
a_plot[122],0.333864204,1.115118779,-1.814384539,2.348117857,8.711400385,1.361683959,,,
a_plot[123],0.296145489,1.115580091,-1.854512991,2.314629639,8.705285148,1.361840143,,,
a_plot[124],0.373367275,1.115088069,-1.777540917,2.386734058,8.689653715,1.363428946,,,
a_plot[125],0.311108387,1.11593833,-1.834782343,2.328372135,8.717671855,1.360305169,,,
a_plot[126],0.368969213,1.116718111,-1.784829993,2.386057597,8.705981993,1.361896397,,,
a_plot[127],0.314358598,1.115389831,-1.834581335,2.328940691,8.689300199,1.36168763,,,
a_plot[128],0.368435996,1.115459016,-1.783279306,2.378374849,8.675481271,1.363530667,,,
a_plot[129],0.46606771,1.113937635,-1.684671329,2.475527918,8.704410977,1.363843705,,,
a_plot[13],0.395996542,1.113160745,-1.752216959,2.406709557,8.694164659,1.36331887,,,
a_plot[130],0.585234023,1.114240734,-1.575342398,2.602308639,8.767930003,1.363183194,,,
a_plot[131],0.347804597,1.11585201,-1.800957038,2.365748981,8.674805312,1.36182759,,,
a_plot[132],0.407819591,1.115013685,-1.739424363,2.423468154,8.676839458,1.363857422,,,
a_plot[133],0.512169923,1.112535878,-1.638599977,2.523645032,8.727531119,1.363755198,,,
a_plot[134],0.350505368,1.116600046,-1.798960615,2.372305388,8.700196173,1.362155465,,,
a_plot[135],0.326586713,1.115153137,-1.824098737,2.339126357,8.695710809,1.362078751,,,
a_plot[136],0.342776837,1.116746691,-1.812335026,2.363264804,8.702655143,1.361147079,,,
a_plot[137],0.277419392,1.116829578,-1.873703828,2.299164536,8.700129877,1.36093281,,,
a_plot[138],0.361333743,1.115456603,-1.790185929,2.380145955,8.688939569,1.362612133,,,
a_plot[139],0.269246693,1.117221628,-1.884593809,2.289309496,8.715843166,1.360622471,,,
a_plot[14],0.417502065,1.113646464,-1.729058987,2.426961809,8.74295344,1.362791694,,,
a_plot[140],0.283671271,1.116149932,-1.86685681,2.305894731,8.716825703,1.360437096,,,
a_plot[141],0.396857574,1.115468041,-1.752970377,2.408765664,8.680175995,1.36312003,,,
a_plot[142],0.316253472,1.115508034,-1.836137343,2.32894561,8.709769255,1.362276023,,,
a_plot[143],0.473827688,1.113727091,-1.675701221,2.489878838,8.665669669,1.366102224,,,
a_plot[144],0.39388469,1.114171231,-1.75818264,2.404154528,8.685883548,1.363473736,,,
a_plot[145],0.287107562,1.11650912,-1.867156839,2.305641449,8.700141604,1.360304592,,,
a_plot[15],0.382861784,1.113435186,-1.765876162,2.392604659,8.688747163,1.363579461,,,
a_plot[16],0.302439891,1.114920453,-1.847242139,2.316120426,8.696440086,1.362879547,,,
a_plot[17],0.328916525,1.114773619,-1.819849204,2.344775762,8.687520871,1.36274115,,,
a_plot[18],0.389315452,1.11408769,-1.762210915,2.400327147,8.679665172,1.363830677,,,
a_plot[19],0.324964331,1.115844724,-1.823182706,2.345110995,8.698743731,1.361687019,,,
a_plot[2],0.329252523,1.115238632,-1.820743849,2.343685186,8.65045948,1.363421697,,,
a_plot[20],0.414780285,1.114233458,-1.731287592,2.428210726,8.71405675,1.363108743,,,
a_plot[21],0.355483791,1.114660144,-1.796459063,2.362351549,8.67783525,1.364145831,,,
a_plot[22],0.395017324,1.114799649,-1.755382974,2.41014732,8.676901119,1.364363338,,,
a_plot[23],0.341584918,1.114625997,-1.807876084,2.353512978,8.704570742,1.362321583,,,
a_plot[24],0.350764174,1.115179534,-1.804409794,2.362737092,8.710043596,1.36311583,,,
a_plot[25],0.354099897,1.115600049,-1.800385572,2.369162538,8.715209207,1.362044579,,,
a_plot[26],0.442862333,1.113115727,-1.702581876,2.455862759,8.69649929,1.365334482,,,
a_plot[27],0.357998846,1.114036466,-1.795712424,2.368758322,8.698409889,1.363560725,,,
a_plot[28],0.34375553,1.116107275,-1.806603184,2.356702182,8.705446838,1.362164108,,,
a_plot[29],0.400128312,1.113129039,-1.749064067,2.411540184,8.72087412,1.364769739,,,
a_plot[3],0.360503638,1.11458882,-1.789881733,2.374796101,8.668643385,1.364453132,,,
a_plot[30],0.399122506,1.112882862,-1.747948843,2.405436246,8.70509168,1.363683722,,,
a_plot[31],0.391448115,1.112945573,-1.752422099,2.399064569,8.718962719,1.363845924,,,
a_plot[32],0.440325167,1.112504896,-1.70531213,2.449762256,8.706934941,1.364659074,,,
a_plot[33],0.352671187,1.116132843,-1.802896367,2.37127595,8.669742301,1.363854803,,,
a_plot[34],0.323866343,1.114515099,-1.825845979,2.335807171,8.704901262,1.363057996,,,
a_plot[35],0.296649352,1.115852145,-1.854271815,2.31135294,8.717021176,1.36208062,,,
a_plot[36],0.262632589,1.115866147,-1.886334069,2.283349991,8.730493147,1.360888714,,,
a_plot[37],0.381557543,1.114244789,-1.76645738,2.387814784,8.693608374,1.363947635,,,
a_plot[38],0.340127955,1.114550642,-1.809731244,2.353654842,8.700582201,1.362918649,,,
a_plot[39],0.40176554,1.113689964,-1.749890562,2.410782665,8.716988452,1.363957832,,,
a_plot[4],0.356107331,1.114558369,-1.793413247,2.373122435,8.671148087,1.363472826,,,
a_plot[40],0.296397102,1.116687085,-1.856929056,2.315687636,8.689312977,1.360796803,,,
a_plot[41],0.440920794,1.114086144,-1.703924936,2.450788566,8.671884433,1.36475079,,,
a_plot[42],0.347221968,1.114527993,-1.804329822,2.357478275,8.703300331,1.362751705,,,
a_plot[43],0.32089631,1.116584953,-1.829747922,2.338615413,8.703135013,1.361813751,,,
a_plot[44],0.32976764,1.116282402,-1.822770629,2.341376341,8.723655539,1.360957677,,,
a_plot[45],0.319594703,1.115959563,-1.830670907,2.333871679,8.711293791,1.361904097,,,
a_plot[46],0.376312363,1.114103149,-1.775645715,2.383682354,8.703695734,1.363641247,,,
a_plot[47],0.298618711,1.115839075,-1.848118926,2.317518769,8.693970534,1.36114203,,,
a_plot[48],0.386429326,1.115426941,-1.76391021,2.405357436,8.705434115,1.362473384,,,
a_plot[49],0.471960434,1.113671004,-1.676952929,2.483077913,8.671831287,1.365549114,,,
a_plot[5],0.320547749,1.116544268,-1.829188768,2.341775521,8.683359716,1.362945521,,,
a_plot[50],0.32354085,1.115986684,-1.823215139,2.336742924,8.724426235,1.361444555,,,
a_plot[51],0.448876611,1.113604009,-1.700148743,2.465541657,8.74991945,1.362511656,,,
a_plot[52],0.396474386,1.114829476,-1.750543541,2.407527444,8.699382567,1.362816942,,,
a_plot[53],0.363517237,1.114684795,-1.787421623,2.374433136,8.713808554,1.3622082,,,
a_plot[54],0.398463502,1.115119768,-1.753499699,2.412896109,8.691301284,1.364141294,,,
a_plot[55],0.40793803,1.113933936,-1.738252164,2.425745386,8.654042054,1.364805681,,,
a_plot[56],0.171472367,1.12173216,-1.987172827,2.21050658,8.73784486,1.357037814,,,
a_plot[57],0.267425165,1.117266182,-1.884864721,2.286961912,8.728642697,1.359983624,,,
a_plot[58],0.388512501,1.116017124,-1.767874414,2.40804652,8.732169437,1.362071719,,,
a_plot[59],0.342608516,1.116529538,-1.807863477,2.361525296,8.679102683,1.363441007,,,
a_plot[6],0.352539522,1.114364851,-1.79391716,2.36856191,8.657702214,1.363696262,,,
a_plot[60],0.321354168,1.117580741,-1.833144271,2.337864431,8.719063755,1.360255229,,,
a_plot[61],0.381916993,1.114926282,-1.764733808,2.397426703,8.701564815,1.363336967,,,
a_plot[62],0.40782419,1.114079177,-1.743292433,2.415441177,8.717340299,1.362420503,,,
a_plot[63],0.425586083,1.113887859,-1.725052749,2.44046824,8.653280695,1.365674277,,,
a_plot[64],0.356239736,1.115141382,-1.79224863,2.366935578,8.686947843,1.363776807,,,
a_plot[65],0.364269275,1.114445328,-1.783029364,2.376049647,8.706925968,1.362633802,,,
a_plot[66],0.369727091,1.114904753,-1.782264018,2.375698891,8.719357533,1.361269823,,,
a_plot[67],0.410409032,1.115592198,-1.74136994,2.426403045,8.684693761,1.36367765,,,
a_plot[68],0.308229714,1.114542214,-1.839781902,2.3292063,8.691857438,1.3621875,,,
a_plot[69],0.315034061,1.114956281,-1.834513686,2.330057214,8.703441427,1.361542072,,,
a_plot[7],0.279689044,1.115813426,-1.86884345,2.298299441,8.676894692,1.362669796,,,
a_plot[70],0.413101856,1.114497578,-1.733400822,2.425082073,8.687285747,1.36413232,,,
a_plot[71],0.351627691,1.114695195,-1.796105981,2.362742726,8.680269125,1.363383803,,,
a_plot[72],0.400534076,1.113611611,-1.748998084,2.409666781,8.694119933,1.363873813,,,
a_plot[73],0.410262569,1.113772276,-1.738102273,2.420759727,8.684777414,1.364785541,,,
a_plot[74],0.320205541,1.114573204,-1.827977583,2.331563224,8.662614166,1.36342321,,,
a_plot[75],0.39310185,1.113833259,-1.758609502,2.401131376,8.69590449,1.364122104,,,
a_plot[76],0.309956269,1.117846133,-1.849742653,2.327338849,8.710224352,1.359912537,,,
a_plot[77],0.382360801,1.114546304,-1.768099925,2.395824747,8.703358448,1.361778129,,,
a_plot[78],0.361014289,1.115781844,-1.79257967,2.371363593,8.663537569,1.363431593,,,
a_plot[79],0.30765434,1.11479415,-1.83862827,2.325334558,8.710447655,1.362573581,,,
a_plot[8],0.385833603,1.113998219,-1.759058129,2.400357517,8.678493259,1.364228496,,,
a_plot[80],0.398946483,1.114411588,-1.742424828,2.409974565,8.706118678,1.362050366,,,
a_plot[81],0.401699019,1.115070705,-1.748883366,2.418633838,8.699868154,1.362856639,,,
a_plot[82],0.483013574,1.115092695,-1.671365282,2.505891134,8.727082601,1.363771399,,,
a_plot[83],0.375198197,1.113474516,-1.770868115,2.381295795,8.720028302,1.362456622,,,
a_plot[84],0.344056574,1.115254455,-1.807582202,2.354036527,8.668978653,1.362602416,,,
a_plot[85],0.3240437,1.114726247,-1.827520113,2.335568026,8.696894586,1.362309834,,,
a_plot[86],0.308199965,1.116940178,-1.845899824,2.325223425,8.698326185,1.361161803,,,
a_plot[87],0.299584445,1.11498283,-1.849971773,2.314892317,8.721450484,1.361930489,,,
a_plot[88],0.360247566,1.114401516,-1.786877052,2.367394095,8.679334567,1.363952481,,,
a_plot[89],0.388508624,1.116030208,-1.763936223,2.405731702,8.711249714,1.363267641,,,
a_plot[9],0.412558759,1.113592252,-1.735604505,2.420949945,8.641740265,1.365033187,,,
a_plot[90],0.344571542,1.116389775,-1.809929998,2.364053066,8.729345781,1.361044574,,,
a_plot[91],0.391678132,1.114618031,-1.753194304,2.407679586,8.657709331,1.364920537,,,
a_plot[92],0.384639443,1.114947159,-1.763552852,2.399717626,8.67920358,1.363408204,,,
a_plot[93],0.292445673,1.115909073,-1.858930127,2.309112361,8.713580713,1.361648212,,,
a_plot[94],0.325026666,1.115129012,-1.822259161,2.335580443,8.674038493,1.363098186,,,
a_plot[95],0.333310261,1.115202529,-1.819945021,2.348022659,8.702722574,1.362210013,,,
a_plot[96],0.306369258,1.115476444,-1.843500892,2.320270621,8.714034369,1.361427497,,,
a_plot[97],0.390009111,1.115206531,-1.759143481,2.402805997,8.657485344,1.364224384,,,
a_plot[98],0.401250445,1.114431988,-1.747316148,2.413848387,8.665369397,1.364862443,,,
a_plot[99],0.345461628,1.114993513,-1.803522677,2.355366733,8.668831462,1.363298741,,,
a_sp,0.815504333,10.86564909,-21.24503961,20.94052149,61.54502761,1.059748898,,,
a_spj[1],1.348378302,10.86457346,-20.71947844,21.50190109,61.5124042,1.059805933,,,
a_spj[10],0.58913622,10.8666494,-21.48619994,20.7242669,61.57345067,1.059754042,,,
a_spj[11],0.483774905,10.8660381,-21.58618841,20.62209754,61.60214588,1.059708308,,,
a_spj[12],0.477878341,10.86684402,-21.59017434,20.60301583,61.60263589,1.059732045,,,
a_spj[13],1.883647057,10.88116577,-20.22158696,22.07668506,61.48544924,1.059801755,,,
a_spj[14],0.538006231,10.86724781,-21.53381191,20.67659029,61.51941501,1.059763005,,,
a_spj[15],0.760861913,10.87179575,-21.29221399,20.88551378,61.45946817,1.059842382,,,
a_spj[16],0.048220775,10.86727691,-22.04042096,20.19073205,61.57223902,1.059711745,,,
a_spj[17],0.780035363,10.87138255,-21.28852639,20.91204039,61.5332583,1.059787254,,,
a_spj[18],2.430737713,10.86629052,-19.63718871,22.56987321,61.55587313,1.059695415,,,
a_spj[19],0.487319605,10.86665152,-21.58086085,20.61525469,61.57923495,1.059721206,,,
a_spj[2],1.204607801,10.86670564,-20.86149881,21.32221687,61.58927092,1.059727162,,,
a_spj[20],0.97184044,10.86591247,-21.0803011,21.09667246,61.57166486,1.059742322,,,
a_spj[21],0.821441183,10.86883974,-21.2518236,20.95625505,61.62008524,1.05963712,,,
a_spj[22],1.2443054,10.86858632,-20.81347119,21.37741876,61.57676444,1.059753277,,,
a_spj[23],0.48112896,10.86596597,-21.59067183,20.61081431,61.55240366,1.059745927,,,
a_spj[24],0.330257368,10.86745413,-21.74211,20.43845277,61.49172099,1.059772779,,,
a_spj[25],1.120989405,10.87090573,-20.95223921,21.24362409,61.67724005,1.059698725,,,
a_spj[26],0.425584746,10.87685849,-21.67706591,20.57239743,61.86943622,1.059553743,,,
a_spj[27],0.25456231,10.86625623,-21.80732701,20.40059952,61.53771379,1.059736267,,,
a_spj[28],0.496754802,10.87019691,-21.56779292,20.63464451,61.71973177,1.059637055,,,
a_spj[29],1.136729311,10.87509373,-20.92076443,21.34577978,61.30876274,1.05986845,,,
a_spj[3],1.152038344,10.87715577,-20.8832197,21.34228395,61.39366666,1.059789928,,,
a_spj[30],1.82864457,10.87861535,-20.228561,21.96061275,61.72367164,1.059703867,,,
a_spj[31],0.832389301,10.87174716,-21.24485611,20.96562373,61.68198118,1.059655608,,,
a_spj[32],0.859438921,10.87104184,-21.24473743,20.97042152,61.67522962,1.059615474,,,
a_spj[33],0.549884482,10.86752391,-21.51568682,20.67047045,61.54532642,1.059756163,,,
a_spj[34],0.670194993,10.86672694,-21.38937738,20.80466674,61.57390209,1.059734895,,,
a_spj[35],1.227395221,10.86867333,-20.82449242,21.33407541,61.8083559,1.059617452,,,
a_spj[36],0.786941553,10.86706591,-21.27711095,20.91244564,61.66627878,1.059661792,,,
a_spj[37],1.199218271,10.87372731,-20.87991307,21.32886147,61.73277977,1.059583249,,,
a_spj[38],1.159062519,10.86785026,-20.90601459,21.30038374,61.4921362,1.059753112,,,
a_spj[39],1.83843216,10.87400295,-20.23604823,22.03590606,61.76264098,1.059709018,,,
a_spj[4],0.69936466,10.86830821,-21.37372578,20.83911153,61.63902254,1.059671949,,,
a_spj[40],1.594926401,10.87152226,-20.4406287,21.75039212,61.68637678,1.059673453,,,
a_spj[41],0.077013532,10.86468161,-21.98278384,20.2099417,61.57105843,1.059735655,,,
a_spj[42],0.607255068,10.87007432,-21.43414803,20.73835053,61.39744868,1.059696401,,,
a_spj[43],1.841619355,10.86659025,-20.21648487,21.95921919,61.56643551,1.059732719,,,
a_spj[44],1.23471133,10.86749366,-20.83023025,21.37259655,61.53471103,1.059741316,,,
a_spj[45],0.596414047,10.8691882,-21.47317,20.71807144,61.53342841,1.059738277,,,
a_spj[46],-0.262866659,10.8693361,-22.35708672,19.84550484,61.59156092,1.059646267,,,
a_spj[47],0.271553903,10.86693255,-21.7986121,20.40063924,61.55468043,1.05974586,,,
a_spj[48],0.294144576,10.86686017,-21.75713525,20.41753457,61.56521451,1.059729667,,,
a_spj[49],0.860273809,10.87137352,-21.178367,21.01055912,61.78780742,1.059565099,,,
a_spj[5],0.84801819,10.86876558,-21.21980679,21.00998154,61.57848663,1.059709765,,,
a_spj[50],0.804970236,10.86668104,-21.27414336,20.93339502,61.58056189,1.059742926,,,
a_spj[51],0.819953337,10.86693673,-21.25097261,20.95006162,61.55357944,1.059742817,,,
a_spj[52],1.856090887,10.87268568,-20.23438951,22.05537903,61.63613723,1.059728403,,,
a_spj[53],0.995987653,10.86877119,-21.08430381,21.16890638,61.69642703,1.05959257,,,
a_spj[54],0.469036288,10.86588461,-21.61147922,20.61112952,61.60235407,1.05971028,,,
a_spj[55],0.567328056,10.87231354,-21.49488571,20.73090619,61.57713366,1.059587747,,,
a_spj[56],0.409320307,10.86645203,-21.65958691,20.54486293,61.6168526,1.059718329,,,
a_spj[57],0.519538355,10.86754249,-21.55162754,20.65445936,61.55343602,1.059745274,,,
a_spj[58],0.345529059,10.87079549,-21.70445998,20.4958555,61.61157127,1.059700323,,,
a_spj[59],0.411461262,10.86906541,-21.67050592,20.5324019,61.60064798,1.059683758,,,
a_spj[6],1.587300787,10.86626182,-20.47031223,21.70928522,61.54156972,1.059751452,,,
a_spj[60],0.351443997,10.86684753,-21.72360275,20.4950278,61.53017902,1.05976128,,,
a_spj[61],0.504876509,10.86142429,-21.5626994,20.55169061,61.49205806,1.059604093,,,
a_spj[62],0.403223283,10.86697598,-21.66113163,20.53871207,61.58630347,1.05974957,,,
a_spj[63],0.592383044,10.86821989,-21.48691889,20.74901594,61.53247455,1.059864672,,,
a_spj[64],0.846782968,10.86699131,-21.21826067,20.97043493,61.59298131,1.059738663,,,
a_spj[7],0.776713612,10.86972743,-21.32521867,20.92453487,61.81409497,1.05959127,,,
a_spj[8],0.216465164,10.86786263,-21.85928191,20.34619559,61.42694382,1.059702047,,,
a_spj[9],0.638704534,10.86755593,-21.41704893,20.79346373,61.53818313,1.059754984,,,
a_station[1],0.292052657,1.002878178,-1.566023977,2.364063848,154.964754,1.014015623,,,
a_station[10],0.172684091,1.004476483,-1.692815219,2.238038759,153.9625991,1.014353731,,,
a_station[11],-0.022444289,1.003918045,-1.887696722,2.040431298,153.7009623,1.013875352,,,
a_station[12],-0.023060498,1.004098318,-1.888230294,2.041275905,154.2748848,1.013806783,,,
a_station[13],0.127886987,1.003669943,-1.732627501,2.19747134,154.3414829,1.013859796,,,
a_station[14],0.310739976,1.003937866,-1.551249667,2.378322798,155.4495494,1.013866952,,,
a_station[15],0.005523822,1.005472962,-1.860203539,2.076642245,154.0925506,1.014003691,,,
a_station[16],0.139612329,1.003976809,-1.723150666,2.208356265,154.4368222,1.013917568,,,
a_station[17],-0.006088899,1.003869025,-1.870569772,2.058191664,154.4265869,1.013853381,,,
a_station[18],0.071016987,1.005910918,-1.800213911,2.139486962,155.4858115,1.013670486,,,
a_station[19],-0.05233843,1.005600943,-1.920078359,2.019875532,154.8181503,1.013825087,,,
a_station[2],0.015754274,1.003491881,-1.851143857,2.081238036,153.3380544,1.01388508,,,
a_station[20],0.122807201,1.004171181,-1.743792866,2.185723365,155.0079408,1.014050067,,,
a_station[21],0.118258184,1.003345499,-1.747416221,2.184857734,154.1950968,1.014062698,,,
a_station[22],0.032515642,1.00484011,-1.830253432,2.097596999,154.7748663,1.013865469,,,
a_station[23],0.108564855,1.006385609,-1.764261303,2.179412497,154.9629863,1.0138146,,,
a_station[24],0.324919923,1.00515127,-1.537868496,2.403295131,156.5010986,1.013851702,,,
a_station[25],-0.003616246,1.007597984,-1.876120149,2.068864179,155.5160493,1.01361604,,,
a_station[26],0.360491845,1.005363455,-1.501601153,2.432052838,154.7846882,1.014012019,,,
a_station[27],0.062462371,1.007356423,-1.809811368,2.132843604,157.3453604,1.013766523,,,
a_station[28],0.149920293,1.006064342,-1.718845991,2.219839639,155.1308928,1.013984944,,,
a_station[29],0.177003015,1.004676564,-1.692497613,2.24445401,156.4067202,1.013838866,,,
a_station[3],0.055021903,1.004302872,-1.808678197,2.123957489,154.1339664,1.014050388,,,
a_station[30],0.080715767,1.002251271,-1.779951354,2.141709038,154.2670964,1.014058829,,,
a_station[31],-0.242116274,1.007764523,-2.114322412,1.830907934,154.4837715,1.013633951,,,
a_station[32],-0.022338203,1.006051119,-1.891176573,2.0518904,155.3059654,1.013733984,,,
a_station[33],0.442650684,1.011006454,-1.438261686,2.523538389,157.990737,1.013604064,,,
a_station[34],0.088401166,1.004279536,-1.777911991,2.15988604,154.7541017,1.013811339,,,
a_station[35],-0.03106393,1.007193887,-1.902450001,2.042433133,155.8846571,1.013706567,,,
a_station[36],0.058945893,1.004762998,-1.811046337,2.129952456,154.6695041,1.013737214,,,
a_station[37],0.082283201,1.006952783,-1.789742951,2.155074693,155.1855884,1.013871208,,,
a_station[38],0.100708465,1.001959618,-1.755796644,2.167575781,154.6533701,1.014038015,,,
a_station[39],0.083835628,1.003128022,-1.779533522,2.151830181,154.7655866,1.013755761,,,
a_station[4],0.167836783,1.003273312,-1.698097289,2.231608916,154.3604061,1.013896731,,,
a_station[40],0.104156328,1.006661056,-1.76457112,2.174236047,154.7150814,1.013825972,,,
a_station[41],0.177166726,1.008440012,-1.700345725,2.249252388,156.3595919,1.014030433,,,
a_station[42],0.174197997,1.008161649,-1.703620475,2.247597619,157.1939146,1.013733257,,,
a_station[43],0.042699882,1.002769,-1.820490226,2.103410446,153.879169,1.013979506,,,
a_station[44],0.042662668,1.004433552,-1.824880871,2.110564669,153.4783825,1.014079779,,,
a_station[45],0.051031247,1.004570937,-1.814515172,2.114994639,154.893,1.013745844,,,
a_station[46],-0.003043377,1.003191566,-1.86519409,2.058673185,154.0249802,1.014078503,,,
a_station[47],0.121877225,1.00420359,-1.741929032,2.191436011,154.6115195,1.013843689,,,
a_station[48],0.085513252,1.004082747,-1.779038834,2.149708608,154.3422665,1.014093699,,,
a_station[49],0.065365376,1.003595063,-1.797605092,2.133837482,154.7151232,1.013890433,,,
