,mean,sd,2.50%,97.50%,n_eff,Rhat4,,,
a_station[67],0.006615311,1.037123095,-2.046594787,2.071851833,288.8502835,1.013411656,,,
a_plot[85],0.074368102,1.008170917,-1.585529785,2.071344804,55.95972098,1.023102265,,,
a_plot[79],0.070569618,1.00757739,-1.580653989,2.070692141,55.93369611,1.023059418,,,
a_plot[140],0.063569736,1.008257848,-1.595674941,2.070266582,55.97040039,1.023137471,,,
a_plot[86],0.065585052,1.008438822,-1.594125472,2.069954683,56.04544982,1.023100878,,,
a_plot[112],0.066806169,1.007807215,-1.591082313,2.069900237,55.87279583,1.023097316,,,
a_plot[17],0.060517121,1.007388467,-1.596671742,2.069155856,55.92026672,1.023174067,,,
a_station[25],0.001050381,1.03828625,-2.057145412,2.067981034,289.1602411,1.013392786,,,
a_plot[40],0.066414501,1.008727483,-1.595809085,2.067817483,56.02476448,1.023172468,,,
a_station[66],-0.001835129,1.037066338,-2.049548629,2.065158976,287.9161802,1.013379208,,,
a_plot[87],0.061764205,1.007695697,-1.597195153,2.064655848,55.86377674,1.023200722,,,
a_plot[104],0.052819265,1.009042801,-1.608501687,2.064245872,56.01986113,1.023237995,,,
a_station[27],-0.01273969,1.039450817,-2.067524678,2.060853458,288.3269635,1.013515297,,,
a_station[54],-0.005860622,1.036229831,-2.055689994,2.058069035,287.4310629,1.013548414,,,
a_plot[94],0.050049498,1.007466192,-1.605279978,2.053432437,55.9523367,1.023222257,,,
a_station[44],-0.01528531,1.036208844,-2.064512678,2.050420446,287.3123005,1.013605032,,,
a_plot[137],0.038759343,1.009197749,-1.62397863,2.046316594,56.01773088,1.023148196,,,
a_plot[139],0.036138025,1.009575971,-1.629682044,2.043193433,56.15913277,1.023121007,,,
a_station[22],-0.026450121,1.035709912,-2.078400953,2.038823387,287.6291808,1.01338014,,,
a_station[2],-0.032631731,1.03622227,-2.086556816,2.032575271,287.3205365,1.013655839,,,
a_plot[36],0.030180793,1.007716186,-1.629940123,2.029313514,55.88384214,1.023208273,,,
a_station[11],-0.045949055,1.037474837,-2.104757208,2.026240477,287.2928729,1.013754646,,,
a_station[12],-0.03991453,1.035472365,-2.087529129,2.023334936,286.9266064,1.013567554,,,
a_station[32],-0.048599539,1.036982509,-2.095984999,2.017937319,287.7335696,1.013507421,,,
a_station[69],-0.049184794,1.036498154,-2.098012391,2.015824688,287.3815041,1.013620127,,,
a_station[46],-0.054229536,1.036180457,-2.105523021,2.013103422,287.2681451,1.013523766,,,
a_station[17],-0.063016497,1.0364397,-2.113945508,2.004433374,287.714277,1.013385334,,,
a_station[36],-0.065939011,1.036735215,-2.11513728,2.002647391,287.1141006,1.013368729,,,
a_station[15],-0.072670869,1.036365574,-2.125578374,1.994813049,287.1780622,1.013426363,,,
a_station[52],-0.085373094,1.037098772,-2.133337465,1.981717661,287.6150715,1.013560946,,,
a_plot[56],-0.018075467,1.009467858,-1.681986305,1.976863653,56.00971484,1.023314713,,,
a_station[65],-0.104649135,1.039284743,-2.157464129,1.968815973,288.4154531,1.01353093,,,
a_station[35],-0.105271409,1.038821652,-2.156444311,1.96614681,288.7138215,1.01342812,,,
a_station[64],-0.142414184,1.037296036,-2.193739393,1.924101401,287.8433909,1.013618192,,,
a_station[74],-0.181034724,1.037893258,-2.230592845,1.891606522,287.5342855,1.013545742,,,
a_station[58],-0.211724096,1.041073043,-2.270283663,1.866017917,289.5899401,1.013584993,,,
a_station[31],-0.236459407,1.038835088,-2.293269802,1.839133933,287.9419473,1.013679318,,,
b9j[30],0.370750877,0.221274794,-0.005361799,0.857337716,3671.927622,1.000235836,,,
b13j[61],0.089569692,0.257504604,-0.400092923,0.623204642,10520.02431,1.000515504,,,
b13j[32],0.104278313,0.242741887,-0.350220685,0.619006792,9278.334462,1.000299684,,,
b9j[61],0.269933263,0.161875309,-0.012258512,0.617300261,4438.607396,1.000498588,,,
b19j[32],0.147278793,0.18018398,-0.166724463,0.582887986,4872.701849,1.000564464,,,
sigma_sp[1],0.446064344,0.054266303,0.351233017,0.563597878,15180.60094,1.000216966,,,
b13j[37],0.103449106,0.224593068,-0.327730357,0.561753565,9077.932973,1.00023908,,,
b10j[44],0.197040304,0.15000038,-0.00403086,0.549919594,1035.012372,1.003185124,,,
b19j[37],0.142757726,0.171807264,-0.165219057,0.547028791,5386.705247,1.000187112,,,
b19j[22],0.212605809,0.148202263,-0.01656405,0.544644028,2502.516551,1.001343477,,,
b19j[55],0.140054447,0.171608067,-0.164621964,0.544107979,4917.006417,1.000707384,,,
b18j[18],0.117428141,0.155937398,-0.062865215,0.541481294,1050.979913,1.006422065,,,
b13j[21],0.034992802,0.242176416,-0.425855129,0.537695521,11860.07899,1.000609064,,,
b19j[40],0.108530432,0.195766635,-0.288987617,0.537315252,5851.038745,1.000715195,,,
b13j[63],0.024056792,0.24874188,-0.449518861,0.535031999,10313.97627,1.000704446,,,
b19j[35],0.112228559,0.185758704,-0.250791872,0.533757515,7520.338006,1.000699945,,,
b13j[9],0.068079743,0.22196836,-0.353146634,0.527325442,12511.13903,1.000352767,,,
b19j[21],0.106191312,0.179217115,-0.236203345,0.51570495,6592.139782,1.000210302,,,
b10j[30],0.145797115,0.146270133,-0.074898358,0.505491155,2002.845379,1.001218377,,,
b13j[39],0.027430698,0.231981976,-0.425435435,0.498121176,10446.04206,1.000237899,,,
b19j[18],0.131081334,0.166374173,-0.188091206,0.497223256,6877.907461,1.000166336,,,
b19j[61],0.068872606,0.193659926,-0.333926986,0.488527963,6962.346454,1.000739963,,,
b19j[45],0.105473318,0.167506511,-0.213839653,0.487840736,6918.986673,1.000762337,,,
b19j[36],0.106713339,0.16738418,-0.215787821,0.487512317,6714.271331,1.000348704,,,
b13j[3],-0.002508001,0.238086763,-0.464496791,0.481462036,13038.59739,1.000382887,,,
b19j[14],0.123644766,0.158383117,-0.174701983,0.479991321,6768.453054,1.000645268,,,
b19j[39],0.100393777,0.166384793,-0.234155869,0.470219214,6818.886539,1.000124993,,,
b13j[44],0.124767438,0.164178574,-0.181583358,0.463298105,4446.434874,1.000633769,,,
b19j[1],0.09717275,0.167293846,-0.233193689,0.46248544,6229.457836,1.000096754,,,
b13j[5],-0.025386938,0.241266722,-0.499921273,0.462008981,13977.42092,1.000095241,,,
b13j[25],-0.036595431,0.245785002,-0.520711886,0.456953714,12512.91398,1.000281168,,,
b19j[63],0.071693241,0.177711323,-0.297854717,0.455059238,7285.141991,1.000542676,,,
b19j[46],0.061510448,0.182911937,-0.324925647,0.454512904,7397.285377,1.000350289,,,
b13j[42],-0.041237155,0.24528183,-0.524214384,0.451410495,13279.538,1.000288459,,,
b13j[59],0.020002135,0.212946664,-0.390259211,0.451157656,14160.96776,1.00006077,,,
b19j[26],0.065819108,0.181659557,-0.322685705,0.450374634,7977.198875,1.00026474,,,
b19j[25],0.068364042,0.180961644,-0.320867653,0.44974145,7283.723022,1.000548413,,,
b19j[29],0.066808426,0.181931458,-0.323880899,0.448781387,7575.079342,1.000800964,,,
b19j[53],0.071138886,0.176824729,-0.309247809,0.448678927,8637.755522,1.000537043,,,
b13j[49],-0.053911335,0.24975555,-0.550641772,0.445010544,14253.33022,1.000100776,,,
b9j[22],0.193169849,0.121514779,-0.030918892,0.443632592,6255.482707,1.000404756,,,
b13j[58],-0.045315327,0.242917312,-0.526743275,0.441518721,13763.71467,1.000249648,,,
b13j[16],-0.034045358,0.236934759,-0.499290095,0.440568484,10620.64153,1.000294776,,,
b13j[4],0.021259527,0.203217669,-0.368818358,0.435428395,12148.83481,1.000490231,,,
b19j[49],0.06006497,0.181609532,-0.330905223,0.435347584,7255.685506,1.000199988,,,
b19j[58],0.057242277,0.181794093,-0.331960626,0.435116263,6170.165867,1.000491744,,,
b19j[31],0.059481013,0.181572417,-0.331133083,0.434736274,6835.772893,1.000171345,,,
b19j[9],0.06601737,0.176912858,-0.313976296,0.43451478,7479.987215,1.000579793,,,
b19j[42],0.061036744,0.178704671,-0.325826956,0.434151291,9148.09092,1.000066812,,,
sigma,0.41698496,0.007105631,0.403415927,0.43121643,10125.99488,1.000749096,,,
b19j[3],0.055059936,0.182631904,-0.349084018,0.426132002,6352.269228,1.000611139,,,
b19j[17],0.079931929,0.159047877,-0.249096236,0.423965948,7445.690681,1.000703755,,,
b19j[8],0.069154476,0.163574605,-0.271688367,0.42059063,7825.653765,1.00045684,,,
b19j[24],0.05342956,0.181329283,-0.339965937,0.420304736,7596.005829,1.001211027,,,
b13j[18],0.053182745,0.183204028,-0.305742619,0.418799825,10018.73539,1.000063867,,,
b9j[39],0.119629282,0.141991763,-0.142982211,0.418677496,10849.32008,1.000118089,,,
b19j[20],0.052576831,0.18066747,-0.349515691,0.418355471,6532.386045,1.000561482,,,
b13j[31],-0.058063432,0.238064282,-0.530277964,0.416690628,14804.04907,1.000117104,,,
b19j[5],0.051091463,0.17976202,-0.346337444,0.416316692,6933.168351,1.000312638,,,
b13j[29],-0.080214686,0.249254038,-0.580967043,0.416001452,13167.62557,1.00013022,,,
b17j[1],0.157714473,0.116954089,-0.022421893,0.412438941,1565.99575,1.00296752,,,
b19j[59],0.056803495,0.170200109,-0.308131745,0.410078502,8592.694471,1.000510962,,,
b9j[16],0.062040613,0.164241743,-0.249902978,0.409957529,13718.0681,1.000165157,,,
b13j[62],0.025291771,0.190031709,-0.34133587,0.407892064,12627.90024,1.00035787,,,
b19j[15],0.052148395,0.176076964,-0.335859269,0.407438562,6775.668385,1.000289867,,,
b13j[17],-0.015998167,0.211054145,-0.433864025,0.406839961,11858.42668,1.000421304,,,
b13j[45],-0.014348672,0.205970552,-0.411446317,0.406409392,13194.13219,1.000339037,,,
b19j[4],0.052081746,0.173713989,-0.32828493,0.406278667,7409.485217,1.000364896,,,
b19j[16],0.045751841,0.176324506,-0.342034052,0.404141515,6658.95179,1.000321721,,,
b14j[1],0.115718162,0.113863994,-0.027249168,0.401136192,1331.536309,1.002285578,,,
b19j[51],0.123124269,0.122810539,-0.103581354,0.397132136,5377.265279,1.000289558,,,
b13j[36],0.020504428,0.185756561,-0.338555798,0.396955896,14013.35339,1.000096239,,,
b9j[44],0.114068456,0.13796315,-0.150089081,0.39637713,7324.037215,1.000522546,,,
b19j[28],0.047333004,0.175407298,-0.345645688,0.394118542,5810.349607,1.000489555,,,
b9j[40],0.038968699,0.175419101,-0.315490797,0.39316997,13010.29208,1.000094191,,,
b9j[52],0.04756944,0.169904792,-0.29276312,0.389293945,12182.38115,1.000125197,,,
b19j[10],0.04927165,0.167060417,-0.319859565,0.387730182,6343.782715,1.000478355,,,
b19j[48],0.082246165,0.142555296,-0.207254283,0.386388779,7111.809899,1.000410909,,,
b9j[18],0.139711742,0.11687902,-0.076819651,0.383666448,4472.006334,1.001894478,,,
b19j[52],0.032535126,0.185681953,-0.400848263,0.38223493,5178.512501,1.000896572,,,
b19j[62],0.036290544,0.17321664,-0.351696216,0.378137941,6333.016685,1.000343957,,,
b10j[13],0.103070393,0.113968422,-0.088070287,0.378136514,3598.216737,1.001053967,,,
b19j[13],0.016615951,0.200626585,-0.465731033,0.376005683,3609.335737,1.000946578,,,
b13j[10],-0.026045974,0.200429621,-0.415068839,0.374428899,13307.91486,1.000177109,,,
b9j[13],0.027098625,0.17430826,-0.327848965,0.374356034,13378.70068,1.000069882,,,
b9j[3],0.038763646,0.164051666,-0.290961121,0.372690959,14231.52176,1.000192075,,,
b11j[1],0.169236111,0.096412372,-0.005778832,0.370775838,5143.4766,1.000755564,,,
b13j[8],0.02693324,0.170064059,-0.303065017,0.369620952,13834.75827,1.000290901,,,
b9j[29],0.035957261,0.163894088,-0.290859948,0.369309335,15006.84373,1.00009411,,,
b13j[53],-0.093232577,0.233041807,-0.558238676,0.369202908,12926.61422,1.000201991,,,
b20j[30],-0.000364696,0.127560559,-0.146757817,0.368852029,855.8851318,1.001745899,,,
b19j[60],0.038832761,0.16431279,-0.32684792,0.366453142,7533.357463,1.000420625,,,
b19j[2],0.083646254,0.132586931,-0.186545259,0.365536272,7780.127604,1.000198605,,,
b18j[22],0.077584835,0.111002341,-0.076968786,0.364600143,1512.736863,1.004328353,,,
b19j[7],0.023177917,0.183660414,-0.414042005,0.362376162,5047.742819,1.000518874,,,
b9j[37],0.035319897,0.158908975,-0.278346358,0.360966175,13017.58576,1.000250939,,,
b9j[1],0.129182023,0.11622535,-0.097777973,0.360848459,7286.835669,1.000537212,,,
b9j[9],0.066269322,0.140012481,-0.196274837,0.360695203,13585.70183,1.000292573,,,
b12j[30],0.067285867,0.131258546,-0.166600256,0.360124246,5123.659278,1.001147904,,,
b9j[62],0.0899487,0.128570104,-0.149491887,0.358758724,12971.2335,1.000161787,,,
b18j[40],0.052416665,0.120335816,-0.152597542,0.358432081,3002.550836,1.001015707,,,
b13j[24],-0.097803192,0.23246943,-0.565650124,0.357183123,14629.243,1.000688043,,,
b9j[49],0.02271891,0.163467183,-0.305256885,0.356421086,14242.52144,1.000323008,,,
b10j[1],0.118435006,0.101712007,-0.046782703,0.355855794,2647.272091,1.001607473,,,
b9j[42],0.026619347,0.161850734,-0.294285853,0.355735647,15542.72145,1.000221462,,,
sigma_sp[8],0.241233268,0.052504773,0.149380539,0.355717432,4077.74061,1.001505011,,,
b9j[31],0.025193308,0.162127885,-0.29752855,0.354998846,15166.60753,1.000232788,,,
b9j[28],0.061309431,0.142395885,-0.213567981,0.354235268,12647.90905,1.000225569,,,
b19j[64],0.054697946,0.147892804,-0.267940313,0.352918396,7108.111543,1.000399985,,,
b10j[52],0.097038042,0.107714029,-0.092675587,0.352398076,4374.49827,1.000737814,,,
b13j[46],-0.109060262,0.233967826,-0.581407351,0.351885207,15645.81473,1.000018702,,,
b9j[5],0.019692611,0.161439986,-0.300676636,0.351615643,12615.42809,1.001279456,,,
b9j[15],0.025029963,0.159334419,-0.294403975,0.349944545,14414.6362,1.000661808,,,
b9j[8],0.032181501,0.154368565,-0.272385654,0.349664397,12059.04245,1.000410559,,,
b9j[25],0.024223098,0.159473714,-0.29637363,0.347968984,14120.00555,1.000339216,,,
b9j[58],0.014524032,0.163595582,-0.313860607,0.347355762,14806.92437,1.000160976,,,
b9j[26],0.01089672,0.166067592,-0.323587411,0.345797603,13908.71338,1.000351556,,,
b9j[17],0.028597124,0.154760705,-0.276980803,0.345715426,13537.73206,1.000140646,,,
b9j[21],0.036252603,0.150015963,-0.257374076,0.345540292,11848.44937,1.000285519,,,
b9j[27],0.072861049,0.130815283,-0.174562352,0.345320962,10786.79265,1.000149457,,,
b9j[24],0.017614524,0.16098496,-0.304820485,0.344782392,13941.33149,1.000184848,,,
b13j[55],0.052594791,0.147555187,-0.236552348,0.344056497,9654.757537,1.000081994,,,
b9j[46],0.004002178,0.166844995,-0.33387873,0.339099125,13049.97045,1.000106711,,,
b9j[35],0.00961864,0.164092998,-0.32136804,0.338490305,12852.50767,1.00011206,,,
b18j[13],0.046135153,0.118383945,-0.161301018,0.336572508,3425.714919,1.001128614,,,
b19j[11],0.047776819,0.14567968,-0.277720887,0.3356799,5916.002662,1.000402733,,,
sigma_sp[14],0.152562844,0.08553897,0.012540106,0.333779369,885.7660704,1.003376353,,,
b10j[38],0.107729446,0.09488471,-0.046273421,0.332173444,2095.731494,1.001860141,,,
b9j[64],0.10448259,0.111385102,-0.107959136,0.330564287,9732.627927,1.000224529,,,
b13j[20],-0.105427151,0.222144273,-0.553116887,0.329885449,12567.86986,1.000399871,,,
b10j[7],0.082097063,0.103214347,-0.106579226,0.327892122,4663.635199,1.000754088,,,
b13j[11],0.02702306,0.150189132,-0.262297927,0.327163342,13990.77953,1.000449357,,,
b9j[20],0.013478522,0.155404288,-0.299690564,0.32477532,14172.45662,1.000111808,,,
b19j[27],0.036003189,0.146836273,-0.287596516,0.324201224,7594.759297,1.000072214,,,
b19j[57],0.084003913,0.112348261,-0.140745778,0.32379958,9449.838515,1.000086474,,,
b9j[45],0.000680015,0.161700944,-0.328591667,0.322703301,14501.02595,1.000380534,,,
b9j[12],0.126090929,0.095772149,-0.054227441,0.320057115,7921.140637,1.0006556,,,
b9j[59],0.062393921,0.124002904,-0.175016813,0.317716038,10915.57714,1.000132256,,,
b13j[13],-0.185938647,0.264392303,-0.735164901,0.314280682,10474.59728,1.000220782,,,
b9j[63],-0.006885567,0.160850857,-0.334390498,0.313408141,13222.02094,1.00022804,,,
b10j[40],0.068785992,0.112117492,-0.160631458,0.313291367,7088.528149,1.000358998,,,
b18j[52],0.039105423,0.114136224,-0.168756574,0.311094033,4365.951837,1.001272198,,,
b13j[7],-0.156548871,0.241197932,-0.653229215,0.309027834,11608.61381,1.000263204,,,
b13j[52],-0.151904267,0.239767524,-0.643020566,0.308587522,11628.10804,1.000030178,,,
b19j[54],0.009853015,0.164306216,-0.376789433,0.308312751,4913.119853,1.000486275,,,
b9j[10],0.016968219,0.14502371,-0.275170737,0.307606578,13939.61188,1.000235047,,,
b13j[26],-0.135056276,0.227058288,-0.595755479,0.307136415,14623.68599,1.000434425,,,
b18j[7],0.039778801,0.108685291,-0.151150044,0.30650872,4262.942497,1.000906079,,,
b13j[28],-0.069160295,0.189043174,-0.443909659,0.305795294,13479.31114,1.000127387,,,
b19j[34],0.011088073,0.163424021,-0.37020761,0.30548509,3591.501348,1.001509147,,,
b9j[32],-0.012019993,0.160787264,-0.341386638,0.304869645,12471.44327,1.000221259,,,
b11j[63],0.058248901,0.113894498,-0.154526251,0.301529355,10649.56158,1.000126782,,,
b10j[3],0.068235923,0.103340747,-0.136671908,0.300902574,6558.124653,1.000185183,,,
b10j[28],0.072753877,0.100556037,-0.122716557,0.3008594,6612.847044,1.000504441,,,
b10j[18],0.089806785,0.092535153,-0.07972584,0.299437302,5145.230339,1.000472384,,,
b19j[50],0.046390449,0.128611618,-0.236079613,0.298690806,6425.343566,1.000534252,,,
b13j[15],-0.059129849,0.1806735,-0.416162655,0.297979436,16036.6787,1.00022884,,,
b10j[29],0.065603934,0.103859126,-0.14332162,0.295585575,8118.104271,1.000748644,,,
b18j[14],0.038458256,0.105318411,-0.152859401,0.295380398,3786.970797,1.001168988,,,
b13j[60],-0.087951003,0.192909637,-0.469078666,0.295040396,13809.87733,1.000331607,,,
b19j[33],0.023443629,0.145673805,-0.305764865,0.294966488,5474.186299,1.000815869,,,
b9j[60],0.010801683,0.142065606,-0.274063656,0.294754867,14439.29569,1.000295852,,,
b9j[4],0.019766694,0.136531696,-0.251143082,0.294539673,15445.07031,1.000180373,,,
b18j[48],0.035632531,0.1040852,-0.150022519,0.294439257,3680.268355,1.001049172,,,
b13j[50],0.011345873,0.138119823,-0.2518201,0.294066819,8958.019178,1.000397809,,,
b9j[11],0.051129501,0.117073966,-0.174954682,0.290221617,13744.29323,1.000144622,,,
b19j[12],0.034547524,0.130414899,-0.249354595,0.290011026,5616.808691,1.000398037,,,
b12j[48],0.069388946,0.096763338,-0.095872591,0.287467553,5727.851057,1.000402232,,,
b10j[20],0.064287078,0.100695449,-0.139130795,0.286435269,6383.420302,1.000395214,,,
b19j[30],-0.10433123,0.261606631,-0.741432201,0.286258474,1760.663304,1.001930107,,,
b9j[38],0.042894007,0.120390228,-0.194695257,0.284351844,11662.26924,1.000332929,,,
b10j[27],0.086782624,0.084665881,-0.061191625,0.284256581,4313.428974,1.001073547,,,
b10j[34],0.081967595,0.085820433,-0.072602282,0.282607798,4267.543708,1.000986874,,,
b18j[35],0.029424696,0.109215123,-0.185009646,0.282535854,5297.788963,1.000444781,,,
b10j[31],0.059926681,0.102595324,-0.153037576,0.282340964,7087.990536,1.000452357,,,
b9j[55],-0.022360079,0.157227166,-0.35084058,0.28229749,12876.01223,1.000485559,,,
b10j[49],0.059566772,0.103145466,-0.15356812,0.280890296,8341.059051,1.000214391,,,
b10j[35],0.057971763,0.104344488,-0.164707327,0.280368902,8287.647274,1.000247697,,,
b10j[6],0.121926443,0.07393236,-0.000961245,0.280348137,1518.048614,1.002087764,,,
b10j[25],0.060707032,0.100417909,-0.147297784,0.27830042,8741.527852,1.000263304,,,
b18j[53],0.030310789,0.102954409,-0.167021392,0.276716092,5225.032869,1.001047154,,,
b13j[48],0.009325567,0.135541445,-0.255488295,0.276602775,12661.79351,1.000382408,,,
b18j[55],0.030397712,0.102793501,-0.166033263,0.276366277,5311.484072,1.000760612,,,
b10j[15],0.059938109,0.099583637,-0.144318542,0.27564943,6103.20524,1.000271416,,,
b10j[5],0.056538406,0.101859984,-0.158166466,0.274514441,8215.923515,1.000109168,,,
b10j[4],0.060085494,0.097423471,-0.137531847,0.274001343,7827.301842,1.000483217,,,
b19j[6],0.035027574,0.124892383,-0.234296075,0.272237381,2777.615206,1.000993787,,,
b10j[16],0.056559569,0.098949184,-0.148239349,0.271793868,7051.242803,1.000306421,,,
b10j[61],0.0516127,0.105728301,-0.176785917,0.271088588,7062.168074,1.000517918,,,
b11j[17],0.039253283,0.110773989,-0.172728582,0.271032293,10375.72216,1.000123342,,,
b10j[24],0.053629772,0.102443627,-0.162900076,0.270867762,5329.305594,1.000340864,,,
b18j[1],0.022648654,0.112291836,-0.214967704,0.270656153,4980.249704,1.000398297,,,
b10j[58],0.051904743,0.102785097,-0.167075811,0.269715044,8136.829453,1.000159779,,,
b10j[42],0.05476679,0.100908407,-0.159861894,0.268611477,8963.425381,1.0006533,,,
b11j[46],0.024740858,0.119115692,-0.21395106,0.268404557,11387.24753,1.000202112,,,
b10j[26],0.051666821,0.102339969,-0.162765672,0.267841908,8693.798605,1.000423703,,,
b18j[25],0.024679582,0.106766954,-0.189774781,0.267686657,7129.25739,1.000868666,,,
b18j[29],0.025612346,0.105989811,-0.188291808,0.267391374,5854.709162,1.000327716,,,
b10j[64],0.069965575,0.087488741,-0.100590369,0.265975915,6114.330572,1.000474308,,,
b11j[40],0.008215847,0.126903204,-0.24911211,0.265778359,11741.422,1.000035036,,,
b10j[10],0.059505241,0.095852434,-0.139079656,0.265738147,7564.284484,1.000417931,,,
b18j[3],0.022615333,0.107298527,-0.197170529,0.265278305,5771.678395,1.000558033,,,
b18j[37],0.024671929,0.105553372,-0.188069799,0.264666528,6309.148125,1.000496389,,,
b11j[48],0.049151282,0.102506222,-0.146165937,0.264309693,9594.528343,1.000406359,,,
b11j[35],0.011087062,0.121084067,-0.228122185,0.262706556,9196.071785,1.000217246,,,
b18j[6],0.049017563,0.087351305,-0.100024661,0.261915376,2330.678554,1.002280834,,,
b10j[53],0.052265787,0.100919715,-0.16416744,0.261637826,7710.225417,1.000760636,,,
b14j[35],0.044980497,0.085182108,-0.091106706,0.261221857,3094.18677,1.000773021,,,
b18j[20],0.022889226,0.10396943,-0.190754142,0.260478695,6550.256163,1.000383834,,,
b18j[32],0.022438519,0.105592197,-0.191474348,0.259769344,5123.08584,1.000469192,,,
b10j[46],0.046193157,0.102210152,-0.178563459,0.257510676,8539.637445,1.00012188,,,
b11j[26],0.014422608,0.119518477,-0.226082376,0.25644959,11037.5707,1.000218687,,,
b11j[53],0.019699572,0.113749929,-0.205263537,0.254271916,10897.57564,1.00022786,,,
b9j[7],-0.045305211,0.158477688,-0.383041571,0.254161341,11906.71695,1.000369394,,,
b10j[39],0.05681717,0.093621264,-0.14048625,0.253738479,7545.229894,1.000443273,,,
b10j[9],0.050355683,0.098345636,-0.160077829,0.252947901,6706.528794,1.000290246,,,
sigma_sp[4],0.157469425,0.043914759,0.080745566,0.252363101,3175.012303,1.000436808,,,
b12j[13],0.010533947,0.116044017,-0.222888682,0.251995521,10142.9673,1.000246536,,,
b10j[59],0.048881047,0.097069076,-0.159585723,0.251571181,6507.535942,1.000782482,,,
b12j[35],0.043494802,0.095364496,-0.129871664,0.250123988,9197.980888,1.000137667,,,
b18j[38],0.023548248,0.099522325,-0.179157816,0.249845042,4976.795266,1.000230891,,,
b19j[47],0.075919862,0.083357179,-0.090208665,0.249234964,11066.57586,1.000266165,,,
b18j[45],0.018942718,0.103687669,-0.196680489,0.248944038,5930.813939,1.00044981,,,
b11j[7],0.002439427,0.121396975,-0.243694686,0.248321256,9886.86757,1.00035809,,,
b10j[17],0.050032517,0.095013683,-0.154333674,0.247622848,8341.292422,1.000333054,,,
b18j[49],0.016725363,0.106641007,-0.211337811,0.247167153,5719.588976,1.000891938,,,
b11j[45],0.01145062,0.116261701,-0.22262406,0.24705615,10419.92628,1.000352451,,,
b9j[23],0.069733531,0.086880809,-0.09594829,0.24641408,10496.35193,1.000366071,,,
b10j[63],0.03976911,0.103902479,-0.191636452,0.246002637,7182.600925,1.000567382,,,
b18j[26],0.014364081,0.10812467,-0.216085994,0.245456231,5888.260933,1.000612122,,,
b10j[50],0.073974179,0.076470156,-0.071390786,0.244874608,6404.14781,1.000405695,,,
b11j[16],0.021613179,0.109593029,-0.195834195,0.244841157,10095.95081,1.000199508,,,
b11j[58],0.008081439,0.118190355,-0.232221788,0.244773336,10873.15317,1.000252459,,,
b17j[30],0.045700066,0.086953497,-0.100131566,0.244466573,3115.452048,1.001675216,,,
b10j[14],0.045293365,0.096712149,-0.162335703,0.243190383,5489.190171,1.000896271,,,
b10j[62],0.051101493,0.09130492,-0.14479841,0.242814284,7110.439937,1.000311477,,,
b11j[14],0.025022885,0.108918163,-0.195445701,0.242459752,10565.80452,1.000225341,,,
b10j[12],0.079891571,0.073095689,-0.054301196,0.241670222,3794.395621,1.001131189,,,
b10j[54],0.055269012,0.087871108,-0.128436925,0.241523605,7016.683817,1.000232616,,,
b10j[8],0.04642319,0.095106578,-0.160333065,0.241500143,7138.690064,1.000222401,,,
b18j[42],0.014865957,0.104966518,-0.21149324,0.241480093,6119.133412,1.000074283,,,
b18j[39],0.016742939,0.106905932,-0.220213332,0.239963921,5821.256549,1.000134478,,,
b11j[38],0.021601442,0.106092096,-0.187581728,0.239926339,8852.167762,1.000453254,,,
b18j[33],0.027427498,0.092152856,-0.152782622,0.239433377,4650.801009,1.001414451,,,
b18j[4],0.01937857,0.099481151,-0.185809436,0.239113241,5266.126599,1.000355154,,,
b11j[21],0.003313628,0.117023748,-0.232492442,0.238806401,8906.970666,1.0003128,,,
b11j[29],-0.003119512,0.120891812,-0.24955714,0.238762787,11141.18797,1.000055418,,,
b12j[52],0.00430577,0.112856201,-0.224276264,0.23859274,10591.91853,1.000092283,,,
b18j[23],0.028751781,0.088585181,-0.140992481,0.237842522,3911.370584,1.000451992,,,
b12j[18],0.031032875,0.099272353,-0.161683084,0.237413693,6767.710785,1.000266604,,,
b11j[20],0.001641464,0.117842884,-0.238654998,0.237254412,12701.4596,1.000360129,,,
b13j[57],0.018065287,0.11231433,-0.205544881,0.237173867,9833.503423,1.000076826,,,
b11j[31],0.00068106,0.117745454,-0.237890133,0.236705156,9285.370084,1.000294005,,,
b18j[58],0.011858037,0.104492023,-0.215687802,0.236621097,5261.106163,1.000152064,,,
b13j[2],0.078697995,0.087855152,-0.110003966,0.236498419,3394.618603,1.000660077,,,
b11j[9],0.004854236,0.113050319,-0.220946047,0.23633716,11511.79714,1.00005984,,,
b18j[15],0.014805452,0.102282596,-0.209857864,0.235579429,6370.915036,1.000824802,,,
b18j[2],0.023294072,0.094073035,-0.169195569,0.235443345,6374.74252,1.00073927,,,
b18j[31],0.014082087,0.107086453,-0.219858349,0.233864888,5416.472771,1.000429522,,,
b18j[17],0.015169067,0.102987088,-0.206799122,0.233446007,5504.308746,1.000642253,,,
b12j[28],0.014735961,0.099822613,-0.174949623,0.233067835,8768.084515,1.000131468,,,
b18j[5],0.012772175,0.10464725,-0.216380599,0.233040191,5910.757689,1.00058452,,,
b18j[21],0.016006115,0.101183223,-0.20021363,0.232973922,6432.123946,1.000110401,,,
sigma_sp[13],0.078142473,0.062609086,0.003532045,0.232042172,674.4227711,1.010623736,,,
b18j[63],0.010785145,0.10535514,-0.222475052,0.231324291,5988.537171,1.000474025,,,
