,mean,sd,2.50%,97.50%,n_eff,Rhat4,,,
a_spj[20],-0.453234609,10.3585668,-21.87521573,19.37103907,67.57885137,1.059706036,,,
a_spj[64],-0.4686624,10.35754226,-21.88481644,19.3653913,67.59768728,1.059681881,,,
a_sp,-0.484214186,10.35599987,-21.91283324,19.35241192,67.57147428,1.059719159,,,
a_spj[14],-0.478517215,10.35481664,-21.90497707,19.35237379,67.58965403,1.059705831,,,
a_spj[32],-0.48829804,10.35771017,-21.91526341,19.33467525,67.55584477,1.059757742,,,
a_spj[53],-0.540373859,10.36092839,-22.00164876,19.33465695,67.63678726,1.059707842,,,
a_spj[57],-0.523270017,10.35599824,-21.9424271,19.31294115,67.5855225,1.05969533,,,
a_spj[50],-0.507595938,10.3564284,-21.93244969,19.30949302,67.60168008,1.059686502,,,
a_spj[31],-0.525645592,10.36044871,-21.97583358,19.30824493,67.66083897,1.059640877,,,
a_spj[21],-0.50969846,10.35765595,-21.94326749,19.30442791,67.57508447,1.059730616,,,
a_spj[49],-0.51696385,10.36106597,-21.94802659,19.30346561,67.63676491,1.059675568,,,
a_spj[11],-0.53834126,10.35532694,-21.95267026,19.29577565,67.5739055,1.059707661,,,
a_spj[17],-0.556645906,10.35678649,-21.97700608,19.29186178,67.62416507,1.059691547,,,
a_spj[4],-0.528784789,10.35598589,-21.95873649,19.28964143,67.5954137,1.059659169,,,
a_spj[55],-0.548797129,10.3608136,-22.00645558,19.28535078,67.53172528,1.059824393,,,
a_spj[9],-0.576725504,10.35837988,-22.03079555,19.25965827,67.61619877,1.059687768,,,
a_spj[51],-0.573336911,10.35621735,-21.99720973,19.25166496,67.58511431,1.059695374,,,
a_spj[15],-0.576850554,10.35723296,-21.99964919,19.24610476,67.52372711,1.059770873,,,
a_spj[10],-0.610589618,10.35685992,-22.02514617,19.22806425,67.57152641,1.059727782,,,
a_spj[42],-0.570738778,10.36379779,-22.01334159,19.21803472,67.68973994,1.059603735,,,
a_spj[56],-0.634337298,10.35465457,-22.06593808,19.19758799,67.58062524,1.059711573,,,
a_spj[23],-0.637910397,10.35620591,-22.06690724,19.18709618,67.59435336,1.059689104,,,
a_spj[5],-0.633864968,10.35769768,-22.06456567,19.18094254,67.61303278,1.059646546,,,
a_spj[45],-0.655594522,10.35897836,-22.07954626,19.16379137,67.66318549,1.059643483,,,
a_spj[34],-0.717504265,10.35514666,-22.142573,19.11075551,67.5879775,1.059711599,,,
a_spj[26],-0.730034058,10.36224198,-22.14859328,19.11043089,67.6612933,1.059615215,,,
a_spj[24],-0.73788954,10.35732239,-22.16903282,19.0926432,67.59927015,1.059656015,,,
a_spj[33],-0.750656903,10.35600486,-22.18543411,19.07056647,67.56208608,1.059727743,,,
a_spj[61],-0.784327404,10.3603274,-22.24974845,19.06977672,67.54584053,1.05976348,,,
a_spj[47],-0.778292583,10.35569358,-22.20878533,19.0531039,67.59331447,1.059694887,,,
a_spj[19],-0.803516243,10.355542,-22.23092204,19.03636502,67.59037294,1.059693759,,,
a_spj[54],-0.80187474,10.3557528,-22.22397527,19.03332882,67.58009356,1.059703688,,,
a_spj[58],-0.808521343,10.36125161,-22.23863098,19.03295694,67.56184707,1.059730608,,,
a_spj[59],-0.789105946,10.35664041,-22.2234772,19.02736061,67.55463813,1.059763006,,,
a_spj[8],-0.817718168,10.35839958,-22.24387751,19.00176587,67.61908492,1.059677178,,,
a_spj[62],-0.82537998,10.35618561,-22.24363215,18.99339876,67.60305306,1.059683398,,,
a_spj[60],-0.848612931,10.35615205,-22.26980719,18.99167572,67.59433445,1.059693641,,,
a_spj[48],-0.86575066,10.35622974,-22.29213465,18.96456829,67.58097743,1.059751028,,,
a_spj[27],-0.868720416,10.35597226,-22.28436789,18.96404603,67.59674693,1.05967961,,,
a_spj[16],-0.894609423,10.35666605,-22.34260608,18.94319124,67.5585502,1.059765528,,,
a_spj[63],-0.893057044,10.35832184,-22.29532897,18.93623937,67.56648001,1.059706959,,,
a_spj[12],-0.944228597,10.35586276,-22.37297626,18.88268271,67.58996081,1.059677047,,,
a_spj[46],-1.039620013,10.35653168,-22.46099227,18.77144729,67.64634728,1.059677284,,,
a_spj[41],-1.242734403,10.35663376,-22.66119818,18.58848741,67.59913003,1.059680228,,,
a_station[57],0.573808291,1.038055731,-1.477955885,2.641818142,291.787387,1.012956333,,,
a_station[33],0.397863309,1.039403838,-1.654765904,2.468105868,291.524774,1.013124396,,,
a_plot[130],0.380041624,1.01501082,-1.291791544,2.425993618,57.09497601,1.022496372,,,
a_station[61],0.342314398,1.034924869,-1.699004109,2.405602296,288.7012293,1.013334656,,,
a_plot[116],0.365683773,1.013406645,-1.298555967,2.400078468,56.80441647,1.02258453,,,
a_station[68],0.313913519,1.03584616,-1.733428731,2.379714171,289.264251,1.013247727,,,
a_plot[133],0.340014154,1.011638513,-1.324307579,2.368387756,56.65876173,1.022705664,,,
a_station[24],0.291208617,1.035265386,-1.755071521,2.350609102,289.4101568,1.013245158,,,
a_station[1],0.253378505,1.034808947,-1.790800152,2.313035852,288.0221158,1.013388903,,,
a_plot[82],0.282684497,1.012212222,-1.381434189,2.306012592,56.6712426,1.022813297,,,
a_station[26],0.239503138,1.03451245,-1.805076669,2.301766997,287.8236285,1.01340665,,,
a_station[14],0.238085674,1.03510371,-1.80880713,2.300355588,287.6434807,1.013282286,,,
a_plot[49],0.269193208,1.010592132,-1.393681977,2.297480664,56.43466401,1.022773085,,,
a_plot[14],0.255242522,1.010668174,-1.404889606,2.271686381,56.42181216,1.022856691,,,
a_plot[143],0.253641316,1.009644445,-1.406521152,2.265790707,56.3384561,1.022912065,,,
a_station[71],0.195727432,1.035504992,-1.850560311,2.258108807,288.0606598,1.013464433,,,
a_station[55],0.187264902,1.036676054,-1.861395925,2.254221595,289.4415914,1.013355052,,,
a_plot[119],0.231930483,1.009145088,-1.423696426,2.248387627,56.25189563,1.022935636,,,
a_station[72],0.181706503,1.035726113,-1.86699709,2.246692036,288.7019277,1.013249889,,,
a_plot[51],0.23371276,1.009964905,-1.425900238,2.244470148,56.2289377,1.022868815,,,
a_plot[129],0.223109604,1.009584358,-1.437380538,2.23707818,56.37151275,1.023004648,,,
a_plot[89],0.20558651,1.011097108,-1.457564475,2.230553235,56.38052404,1.022826816,,,
a_plot[62],0.212771063,1.010140438,-1.446038149,2.226171408,56.31870374,1.022995616,,,
a_plot[63],0.223756698,1.007942037,-1.428587501,2.225872604,56.13867207,1.022998128,,,
a_plot[114],0.214297988,1.008729478,-1.446562356,2.222619957,56.18560433,1.023085223,,,
a_plot[11],0.204672506,1.007831517,-1.456072923,2.220552284,56.10568504,1.023048283,,,
a_station[42],0.155437833,1.038232279,-1.895706527,2.218599303,289.281397,1.013212968,,,
a_plot[26],0.200876062,1.008606849,-1.455221604,2.214839598,56.1439135,1.022969842,,,
a_station[41],0.146611276,1.038411567,-1.90819542,2.209513889,289.9011385,1.013246184,,,
a_station[29],0.140952007,1.036122794,-1.908281045,2.209213124,287.7954358,1.013445837,,,
a_plot[67],0.183369656,1.010026244,-1.475733874,2.209102555,56.25330752,1.023025889,,,
a_plot[55],0.205115301,1.008235436,-1.449822792,2.206852299,56.15798667,1.023100197,,,
a_plot[103],0.188843096,1.009293647,-1.471219584,2.201332906,56.29381557,1.022973808,,,
a_plot[98],0.177781737,1.008736835,-1.481453504,2.199649849,56.15882443,1.023112641,,,
a_plot[20],0.178196243,1.009512451,-1.480720276,2.198182878,56.17459636,1.023001054,,,
a_plot[9],0.18533269,1.007518971,-1.474483351,2.19748626,56.07514267,1.023052831,,,
a_plot[70],0.181550264,1.009149383,-1.479079537,2.197173665,56.16628449,1.023028288,,,
a_plot[1],0.176691551,1.007976802,-1.478549235,2.196516459,56.11804815,1.022892219,,,
